"Plot Title: 10998654"
"#","Date Time, GMT+05:00","Temp, °F (LGR S/N: 10998654, SEN S/N: 10998654)","Intensity, lum/ft² (LGR S/N: 10998654, SEN S/N: 10998654)","Coupler Detached (LGR S/N: 10998654)","End Of File (LGR S/N: 10998654)"
176,01/31/17 08:14:11 PM,82.686,0.0,,
177,01/31/17 09:14:11 PM,82.686,0.0,,
178,01/31/17 10:14:11 PM,82.686,0.0,,
179,01/31/17 11:14:11 PM,82.686,0.0,,
180,02/01/17 12:14:11 AM,82.864,0.0,,
181,02/01/17 01:14:11 AM,82.508,0.0,,
182,02/01/17 02:14:11 AM,82.508,0.0,,
183,02/01/17 03:14:11 AM,82.686,0.0,,
184,02/01/17 04:14:11 AM,82.864,0.0,,
185,02/01/17 05:14:11 AM,82.864,0.0,,
186,02/01/17 06:14:11 AM,82.686,0.0,,
187,02/01/17 07:14:11 AM,82.330,27.0,,
188,02/01/17 08:14:11 AM,82.508,109.0,,
189,02/01/17 09:14:11 AM,82.508,256.0,,
190,02/01/17 10:14:11 AM,82.686,384.0,,
191,02/01/17 11:14:11 AM,82.864,480.0,,
192,02/01/17 12:14:11 PM,82.864,480.0,,
193,02/01/17 01:14:11 PM,82.686,400.0,,
194,02/01/17 02:14:11 PM,82.686,272.0,,
195,02/01/17 03:14:11 PM,82.686,200.0,,
196,02/01/17 04:14:11 PM,83.757,176.0,,
197,02/01/17 05:14:11 PM,83.221,111.0,,
198,02/01/17 06:14:11 PM,83.221,5.0,,
199,02/01/17 07:14:11 PM,83.043,0.0,,
200,02/01/17 08:14:11 PM,82.686,0.0,,
201,02/01/17 09:14:11 PM,82.686,0.0,,
202,02/01/17 10:14:11 PM,82.864,0.0,,
203,02/01/17 11:14:11 PM,82.686,0.0,,
204,02/02/17 12:14:11 AM,82.686,0.0,,
205,02/02/17 01:14:11 AM,82.686,0.0,,
206,02/02/17 02:14:11 AM,82.686,0.0,,
207,02/02/17 03:14:11 AM,82.686,0.0,,
208,02/02/17 04:14:11 AM,82.864,0.0,,
209,02/02/17 05:14:11 AM,83.043,0.0,,
210,02/02/17 06:14:11 AM,82.864,0.0,,
211,02/02/17 07:14:11 AM,82.864,46.0,,
212,02/02/17 08:14:11 AM,82.864,81.0,,
213,02/02/17 09:14:11 AM,82.864,288.0,,
214,02/02/17 10:14:11 AM,82.864,208.0,,
215,02/02/17 11:14:11 AM,82.864,512.0,,
216,02/02/17 12:14:11 PM,83.043,512.0,,
217,02/02/17 01:14:11 PM,83.043,496.0,,
218,02/02/17 02:14:11 PM,82.864,32.0,,
219,02/02/17 03:14:11 PM,82.864,208.0,,
220,02/02/17 04:14:11 PM,83.757,136.0,,
221,02/02/17 05:14:11 PM,83.221,59.0,,
222,02/02/17 06:14:11 PM,83.579,7.0,,
223,02/02/17 07:14:11 PM,83.757,0.0,,
224,02/02/17 08:14:11 PM,83.757,0.0,,
225,02/02/17 09:14:11 PM,83.579,0.0,,
226,02/02/17 10:14:11 PM,83.221,0.0,,
227,02/02/17 11:14:11 PM,83.221,0.0,,
228,02/03/17 12:14:11 AM,83.043,0.0,,
229,02/03/17 01:14:11 AM,83.043,0.0,,
230,02/03/17 02:14:11 AM,82.686,0.0,,
231,02/03/17 03:14:11 AM,83.043,0.0,,
232,02/03/17 04:14:11 AM,82.864,0.0,,
233,02/03/17 05:14:11 AM,83.043,0.0,,
234,02/03/17 06:14:11 AM,83.043,0.0,,
235,02/03/17 07:14:11 AM,82.864,60.0,,
236,02/03/17 08:14:11 AM,82.864,192.0,,
237,02/03/17 09:14:11 AM,82.864,384.0,,
238,02/03/17 10:14:11 AM,83.043,480.0,,
239,02/03/17 11:14:11 AM,82.864,496.0,,
240,02/03/17 12:14:11 PM,83.043,576.0,,
241,02/03/17 01:14:11 PM,82.864,480.0,,
242,02/03/17 02:14:11 PM,83.043,304.0,,
243,02/03/17 03:14:11 PM,83.043,200.0,,
244,02/03/17 04:14:11 PM,83.579,144.0,,
245,02/03/17 05:14:11 PM,83.221,67.0,,
246,02/03/17 06:14:11 PM,83.043,6.0,,
