Plot Title: 20051877,,,,
#,"Date Time, GMT+05:00","Temp, ¡C (LGR S/N: 20051877, SEN S/N: 20051877)","Intensity, Lux (LGR S/N: 20051877, SEN S/N: 20051877)",End Of File (LGR S/N: 20051877)
24915,12/16/17 06:30:00 PM,29.053,0,
24916,12/16/17 06:45:00 PM,29.053,0,
24917,12/16/17 07:00:00 PM,29.053,0,
24918,12/16/17 07:15:00 PM,29.053,0,
24919,12/16/17 07:30:00 PM,29.053,0,
24920,12/16/17 07:45:00 PM,29.053,0,
24921,12/16/17 08:00:00 PM,28.953,0,
24922,12/16/17 08:15:00 PM,28.953,0,
24923,12/16/17 08:30:00 PM,28.953,0,
24924,12/16/17 08:45:00 PM,28.953,0,
24925,12/16/17 09:00:00 PM,28.754,0,
24926,12/16/17 09:15:00 PM,28.754,0,
24927,12/16/17 09:30:00 PM,28.754,0,
24928,12/16/17 09:45:00 PM,28.754,0,
24929,12/16/17 10:00:00 PM,28.853,0,
24930,12/16/17 10:15:00 PM,28.853,0,
24931,12/16/17 10:30:00 PM,28.853,0,
24932,12/16/17 10:45:00 PM,28.754,0,
24933,12/16/17 11:00:00 PM,28.754,0,
24934,12/16/17 11:15:00 PM,28.754,0,
24935,12/16/17 11:30:00 PM,28.754,0,
24936,12/16/17 11:45:00 PM,28.754,0,
24937,12/17/17 12:00:00 AM,28.754,0,
24938,12/17/17 12:15:00 AM,28.754,0,
24939,12/17/17 12:30:00 AM,28.754,0,
24940,12/17/17 12:45:00 AM,28.754,0,
24941,12/17/17 01:00:00 AM,28.754,0,
24942,12/17/17 01:15:00 AM,28.853,0,
24943,12/17/17 01:30:00 AM,28.853,0,
24944,12/17/17 01:45:00 AM,28.853,0,
24945,12/17/17 02:00:00 AM,28.853,0,
24946,12/17/17 02:15:00 AM,28.853,0,
24947,12/17/17 02:30:00 AM,28.853,0,
24948,12/17/17 02:45:00 AM,28.754,0,
24949,12/17/17 03:00:00 AM,28.853,0,
24950,12/17/17 03:15:00 AM,28.853,0,
