Plot Title: 10998654,,,,,
#,"Date Time, GMT+05:00","Temp, °F (LGR S/N: 10998654, SEN S/N: 10998654)","Intensity, lum/ft² (LGR S/N: 10998654, SEN S/N: 10998654)",Coupler Detached (LGR S/N: 10998654),End Of File (LGR S/N: 10998654)
1044,03/09/2017 00:14,84.654,0,,
1045,03/09/2017 01:14,84.654,0,,
1046,03/09/2017 02:14,84.654,0,,
1047,03/09/2017 03:14,84.654,0,,
1048,03/09/2017 04:14,84.654,0,,
1049,03/09/2017 05:14,84.654,0,,
1050,03/09/2017 06:14,84.654,0,,
1051,03/09/2017 07:14,84.654,48,,
1052,03/09/2017 08:14,84.834,144,,
1053,03/09/2017 09:14,84.834,288,,
1054,03/09/2017 10:14,84.834,416,,
1055,03/09/2017 11:14,85.014,512,,
1056,03/09/2017 12:14,84.834,704,,
1057,03/09/2017 13:14,85.014,768,,
1058,03/09/2017 14:14,85.194,480,,
1059,03/09/2017 15:14,84.834,288,,
1060,03/09/2017 16:14,85.014,136,,
1061,03/09/2017 17:14,84.834,34,,
1062,03/09/2017 18:14,84.834,3,,
1063,03/09/2017 19:14,84.834,0,,
1064,03/09/2017 20:14,84.834,0,,
1065,03/09/2017 21:14,84.834,0,,
1066,03/09/2017 22:14,84.654,0,,
1067,03/09/2017 23:14,84.834,0,,
1068,03/10/2017 00:14,84.115,0,,
1069,03/10/2017 01:14,84.115,0,,
1070,03/10/2017 02:14,84.115,0,,
1071,03/10/2017 03:14,84.295,0,,
1072,03/10/2017 04:14,84.295,0,,
1073,03/10/2017 05:14,84.115,0,,
1074,03/10/2017 06:14,84.115,0,,
1075,03/10/2017 07:14,84.295,36,,
1076,03/10/2017 08:14,84.295,119,,
1077,03/10/2017 09:14,84.295,232,,
1078,03/10/2017 10:14,84.654,416,,
1079,03/10/2017 11:14,84.654,768,,
1080,03/10/2017 12:14,84.834,768,,
1081,03/10/2017 13:14,84.654,576,,
1082,03/10/2017 14:14,84.295,464,,
1083,03/10/2017 15:14,84.654,176,,
1084,03/10/2017 16:14,84.654,136,,
1085,03/10/2017 17:14,84.654,51,,
1086,03/10/2017 18:14,84.654,4,,
1087,03/10/2017 19:14,84.654,0,,
1088,03/10/2017 20:14,84.654,0,,
1089,03/10/2017 21:14,84.474,0,,
1090,03/10/2017 22:14,84.474,0,,
1091,03/10/2017 23:14,84.474,0,,
1092,03/11/2017 00:14,84.474,0,,
1093,03/11/2017 01:14,84.654,0,,
1094,03/11/2017 02:14,84.115,0,,
1095,03/11/2017 03:14,84.115,0,,
1096,03/11/2017 04:14,84.115,0,,
1097,03/11/2017 05:14,84.115,0,,
1098,03/11/2017 06:14,84.115,1,,
1099,03/11/2017 07:14,84.115,65,,
1100,03/11/2017 08:14,84.115,160,,
1101,03/11/2017 09:14,84.295,272,,
1102,03/11/2017 10:14,84.295,416,,
1103,03/11/2017 11:14,84.474,512,,
1104,03/11/2017 12:14,85.194,704,,
1105,03/11/2017 13:14,85.374,704,,
1106,03/11/2017 14:14,85.194,480,,
1107,03/11/2017 15:14,84.834,304,,
1108,03/11/2017 16:14,85.014,160,,
1109,03/11/2017 17:14,84.834,51,,
1110,03/11/2017 18:14,84.654,3,,
1111,03/11/2017 19:14,84.654,0,,
