Plot Title: 20277815,,,
#,"Date Time, GMT+00:00","Temp, ¡C (LGR S/N: 20277815, SEN S/N: 20277815)","Intensity, Lux (LGR S/N: 20277815, SEN S/N: 20277815)"
4789,04/06/2018 11:00,30.76,5511.1
4790,04/06/2018 11:10,30.76,5166.7
4791,04/06/2018 11:20,30.76,4477.8
4792,04/06/2018 11:30,30.76,3616.7
4793,04/06/2018 11:40,30.659,3272.2
4794,04/06/2018 11:50,30.659,2755.6
4795,04/06/2018 12:00,30.558,2669.5
4796,04/06/2018 12:10,30.558,2066.7
4797,04/06/2018 12:20,30.558,1259.4
4798,04/06/2018 12:30,30.457,1054.9
4799,04/06/2018 12:40,30.457,742.7
4800,04/06/2018 12:50,30.457,527.4
4801,04/06/2018 13:00,30.457,236.8
4802,04/06/2018 13:10,30.457,86.1
4803,04/06/2018 13:20,30.457,10.8
4804,04/06/2018 13:30,30.457,0
4805,04/06/2018 13:40,30.457,0
4806,04/06/2018 13:50,30.356,0
4807,04/06/2018 14:00,30.356,0
4808,04/06/2018 14:10,30.356,0
4809,04/06/2018 14:20,30.356,0
4810,04/06/2018 14:30,30.356,0
4811,04/06/2018 14:40,30.356,0
4812,04/06/2018 14:50,30.356,0
4813,04/06/2018 15:00,30.356,0
4814,04/06/2018 15:10,30.356,0
4815,04/06/2018 15:20,30.356,0
4816,04/06/2018 15:30,30.255,0
4817,04/06/2018 15:40,30.255,0
4818,04/06/2018 15:50,30.255,0
4819,04/06/2018 16:00,30.255,0
4820,04/06/2018 16:10,30.255,0
4821,04/06/2018 16:20,30.255,0
4822,04/06/2018 16:30,30.255,0
4823,04/06/2018 16:40,30.255,0
4824,04/06/2018 16:50,30.255,0
4825,04/06/2018 17:00,30.356,0
4826,04/06/2018 17:10,30.356,0
4827,04/06/2018 17:20,30.255,0
4828,04/06/2018 17:30,30.255,0
4829,04/06/2018 17:40,30.255,0
4830,04/06/2018 17:50,30.154,0
4831,04/06/2018 18:00,30.255,0
4832,04/06/2018 18:10,30.154,0
4833,04/06/2018 18:20,30.255,0
4834,04/06/2018 18:30,30.255,0
4835,04/06/2018 18:40,30.255,0
4836,04/06/2018 18:50,30.255,0
4837,04/06/2018 19:00,30.255,0
4838,04/06/2018 19:10,30.255,0
4839,04/06/2018 19:20,30.255,0
4840,04/06/2018 19:30,30.255,0
4841,04/06/2018 19:40,30.356,0
4842,04/06/2018 19:50,30.255,0
4843,04/06/2018 20:00,30.255,0
4844,04/06/2018 20:10,30.255,0
4845,04/06/2018 20:20,30.255,0
4846,04/06/2018 20:30,30.255,0
4847,04/06/2018 20:40,30.255,0
4848,04/06/2018 20:50,30.255,0
4849,04/06/2018 21:00,30.255,0
4850,04/06/2018 21:10,30.255,0
4851,04/06/2018 21:20,30.255,0
4852,04/06/2018 21:30,30.255,0
4853,04/06/2018 21:40,30.255,0
4854,04/06/2018 21:50,30.255,0
4855,04/06/2018 22:00,30.255,0
4856,04/06/2018 22:10,30.255,0
4857,04/06/2018 22:20,30.255,0
4858,04/06/2018 22:30,30.255,0
