"","file","CoralID","time","C","D","R","area","peri","center_x","center_y","rC","pC"
"98","AM_D_B_S_S_06_1.txt","AM_D_B_S_S_06","t1",0.320526818477668,1.14435017849078,1.76631360300536,15.4927201699902,24.6454404461224,18.1282748387097,9.67749316129032,2.2206949349217,13.9530377868282
"99","AM_D_G_N_D_05_0.txt","AM_D_G_N_D_05","t0",0.581581056410301,1.11851959865043,1.31127829927387,0.692771910000374,3.86896624731538,10.2796410714286,7.20016607142857,0.46959146907024,2.95053021883901
"100","AM_D_G_N_D_05_1.txt","AM_D_G_N_D_05","t1",0.0549771403322075,1.19756146695865,4.26490073026089,23.0477655950235,72.5818900551889,26.908780307186,14.7476302797586,2.70856634464482,17.0184242601935
"101","AM_D_G_N_D_08_0.txt","AM_D_G_N_D_08","t0",0.186330576130595,1.11493340414317,2.31663672387387,7.51080819999333,22.5064088765963,14.7911431390977,9.45101776315789,1.5462097216381,9.71512220481473
"102","AM_D_G_N_D_08_1.txt","AM_D_G_N_D_08","t1",0.0237183033692721,1.27661229189617,6.49319118203078,376.585896880133,446.678601813672,29.5992459439663,21.8793660318623,10.9485621875357,68.7918450714661
"103","AM_D_G_N_D_10_0.txt","AM_D_G_N_D_10","t0",0.320899060936483,1.11305399203017,1.76528884509356,3.54109197499929,11.775769942209,13.2387425688073,8.96042055045872,1.06168007588367,6.67073265371759
"104","AM_D_G_N_D_10_1.txt","AM_D_G_N_D_10","t1",0.023628205180479,1.25602657684064,6.50555919988599,165.489823704818,296.671079524324,36.4302287160025,23.0462722643896,7.25789549029581,45.6027023056716
"105","AM_D_G_S_D_03_0.txt","AM_D_G_S_D_03","t0",0.218063461067926,1.08876476888046,2.14145301235785,6.14188165000087,18.8132663198099,14.4202018209408,9.40750804248862,1.39822088704399,8.78528093366642
"106","AM_D_G_S_D_03_1.txt","AM_D_G_S_D_03","t1",0.0328504226151052,1.25840713129551,5.51733710053786,174.342142235022,258.247211341365,34.6542944696657,16.0458134543954,7.44948504608662,46.8064949876255
"107","AM_D_G_S_D_07_0.txt","AM_D_G_S_D_07","t0",0.239777278046818,1.09778809212344,2.04218925638772,3.30639074499959,13.1637009472395,11.7583951219512,7.80422865853659,1.02589320190747,6.44587709296043
"108","AM_D_G_S_D_07_1.txt","AM_D_G_S_D_07","t1",0.037356691698207,1.28704035312342,5.17387337822146,193.359392479993,255.037101711562,28.3137101067887,20.0586353165523,7.84526648450348,49.2932631063407
"109","AM_D_G_S_S_04_0.txt","AM_D_G_S_S_04","t0",0.305787534341687,1.06112938523347,1.80838173301897,4.36129333499957,13.3875989050004,11.4179448571429,4.99601771428571,1.17823715145884,7.40308235841931
"110","AM_D_G_S_S_04_1.txt","AM_D_G_S_S_04","t1",0.160971660026468,1.08740002777372,2.49244330681858,19.6600220700057,39.1761921517783,21.8681120789779,11.2540225319396,2.50159536845476,15.7179872635835
