"","CoralID","Genus","Species","Origin","sourceGen","Destination","Rack","D","d","L","Weight","mlVol","C","DF","RI","area","peri","TH","time","Dl","dl","Ll","Wl","Vl","Al","Fl","Cl","Tl","Rl"
"156","PC_S_Y_S_D_03","P","PC","S","S:PC:Y","D","3",1.81,1.7,6.83,270,113.5,0.402274064979864,1.08046431695101,1.57666338822735,9.86852681499659,17.5577991935608,1.00989007861631,"t0",0.257678574869184,0.230448921378274,0.834420703681533,2.43136376415899,2.05499586152914,0.994252325529801,0.0336104285934669,-0.395477965935345,0.00427410561599007,0.197738982967673
"157","PC_S_Y_S_D_10","P","PC","S","S:PC:Y","D","10",1.85,1.71,8.85,260,113,0.644074914044951,0.996347412397487,1.24603949431282,5.23900410001079,10.1102317107671,0.725486658859034,"t0",0.267171728403014,0.232996110392154,0.946943270697825,2.41497334797082,2.05307844348342,0.719248738324137,-0.00158920276167511,-0.191063615770367,-0.139370569493891,0.0955318078851853
"158","PC_S_Y_S_S_04","P","PC","S","S:PC:Y","S","4",2.03,1.85,6.68,259,113,0.495965181612488,1.09523627155297,1.41995442572969,9.38390138500108,15.4195271239096,0.890871470703923,"t0",0.307496037913213,0.267171728403014,0.824776462475546,2.41329976408125,2.05307844348342,0.972383435150216,0.0395078181376751,-0.304548811341133,-0.050184948702185,0.152274405670565
"159","PC_S_Y_S_S_06","P","PC","S","S:PC:Y","S","6",2,1.74,7.63,267,120,0.514401222750198,1.01277663054356,1.3942768092069,13.3135263349977,18.034349699949,1.10085471778432,"t0",0.301029995663981,0.2405492482826,0.882524537954881,2.42651126136458,2.07918124604762,1.12429310168009,0.00551367159994757,-0.288698007749012,0.041730007956479,0.144349003874506
"160","PR_D_B_N_D_03","P","PR","D","D:PR:B","D","3",1.4,0.88,3.83,222,91,0.381716776694196,1.07763639586781,1.61856213448766,6.91483565499948,15.0877764065725,1.3014010226176,"t0",0.146128035678238,-0.0555173278498314,0.583198773968623,2.34635297445064,1.95904139232109,0.839781862684661,0.0324722507342571,-0.418258752113781,0.11441114365879,0.209129376056891
"161","PR_D_B_N_D_05","P","PR","D","D:PR:B","D","5",1.4,1.06,2.58,225,98,0.780140353880054,1.16096404744368,1.13217517643231,3.05744918500204,7.01775471085467,0.802046551944278,"t0",0.146128035678238,0.0253058652647703,0.41161970596323,2.35218251811136,1.99122607569249,0.485359247766671,0.0648187707819989,-0.107827257011906,-0.0958004239031293,0.0539136285059545
"162","PR_D_B_N_D_08","P","PR","D","D:PR:B","D","8",2.92,1.258,2.29,239,99,0.538136286036756,1.0869312209592,1.36318205832285,5.42907829000251,11.2595710483316,0.629288327041221,"t0",0.465382851448418,0.0996806411092501,0.359835482339888,2.37839790094814,1.99563519459755,0.734726104442735,0.0362020635868086,-0.269107722887125,-0.201150324106008,0.134553861443561
"163","PR_D_B_N_S_02","P","PR","D","D:PR:B","S","2",1.47,1.3,4.35,235,102,0.700077040813383,1.04916331900659,1.19516284234568,6.22593202499775,10.5714412803869,1.01643000659299,"t0",0.167317334748176,0.113943352306837,0.638489256954637,2.37106786227174,2.00860017176192,0.794204374725947,0.0208430983198552,-0.154854164901341,0.00707747761543923,0.0774270824506704
"164","PR_D_B_S_D_10","P","PR","D","D:PR:B","D","10",2.13,1.66,4.93,246,108,0.737171060230934,1.05263551335022,1.16470478927814,8.26861561499391,11.8723637696122,0.856115285007208,"t0",0.328379603438738,0.220108088040055,0.69284691927723,2.39093510710338,2.03342375548695,0.917432803253014,0.0222780179630943,-0.132431722596634,-0.0674677490246507,0.0662158612983171
"165","PR_D_G_N_D_08","P","PR","D","D:PR:G","D","8",0.76,0.75,3.91,221,90.5,0.72548293649732,1.14178232200985,1.1740494756143,1.38985451500048,4.90654743729624,0.880973374779038,"t0",-0.119186407719209,-0.1249387366083,0.592176757395867,2.34439227368511,1.9566485792052,0.142969342240226,0.0575833146270424,-0.139372797798546,-0.0550372168561422,0.0696863988992715
"166","PR_D_G_N_D_10","P","PR","D","D:PR:G","D","10",0.45,0.45,2.28,215,97,0.61247672202324,1.16096404744368,1.2777774111064,1.2457451550008,5.05562370698288,1.39935258134789,"t0",-0.346787486224656,-0.346787486224656,0.357934847000454,2.33243845991561,1.98677173426624,0.095429206771845,0.0648187707819989,-0.212910412578069,0.145927153263513,0.106455206289034
"167","PR_D_G_N_S_01","P","PR","D","D:PR:G","S","1",0.89,0.77,3.13,227,99,0.683825024078394,0.968219763901091,1.20928176825777,2.50666004499908,6.78703605952733,1.07620421981789,"t0",-0.0506099933550872,-0.113509274827518,0.495544337546448,2.35602585719312,1.99563519459755,0.399095438628299,-0.0140260565168811,-0.165055010558569,0.0318946905910088,0.082527505279285
"168","PR_D_G_N_S_09","P","PR","D","D:PR:G","S","9",1.85,1.45,6.7,236,103,0.577379913332096,1.0564718575934,1.31604022723756,5.90046788000473,11.3322806573809,0.830585499245891,"t0",0.267171728403014,0.161368002234975,0.826074802700826,2.37291200297011,2.01283722470517,0.770886450565485,0.0238579327610922,-0.238538329012229,-0.0806156552782306,0.119269164506115
"169","PR_D_G_S_D_07","P","PR","D","D:PR:G","D","7",0.79,0.77,6.18,276,115,0.337907678331663,1.04975327794105,1.72028724694538,8.65275228500104,17.9383724594268,2.12768629566023,"t0",-0.102372908709559,-0.113509274827518,0.790988475088816,2.44090908206522,2.06069784035361,0.937154270709478,0.0210872394323753,-0.471201939568151,0.327907596317193,0.235600969784075
"170","PR_D_R_N_D_03","P","PR","D","D:PR:R","D","3",0.59,0.48,3.33,224,100.5,0.391673130762266,1.04910615342087,1.59785773834725,2.67781875999572,9.26901600721626,1.72568638029961,"t0",-0.229147988357856,-0.318758762624413,0.52244423350632,2.35024801833416,2.00216606175651,0.427781179771818,0.0208194343445981,-0.407076220542843,0.236961871517613,0.203538110271421
"171","PR_D_R_N_D_05","P","PR","D","D:PR:R","D","5",1.08,0.87,2.73,244,98,0.699162132730527,1.16096404744368,1.19594456850528,3.49929420499939,7.93060302894118,1.08245705849666,"t0",0.0334237554869497,-0.0604807473813815,0.436162647040756,2.38738982633873,1.99122607569249,0.543980457554756,0.0648187707819989,-0.155422101528576,0.0344106767317738,0.0777110507642884
"172","PR_D_R_N_D_07","P","PR","D","D:PR:R","D","7",0.75,0.73,4.02,252,110,0.398968552030882,1.10924155843888,1.58318135915772,7.89061059499727,15.764888569184,2.14165074966812,"t0",-0.1249387366083,-0.136677139879544,0.60422605308447,2.40140054078154,2.04139268515822,0.897110611292774,0.0450261323289909,-0.399061335435336,0.330748649568343,0.199530667717668
"173","PR_D_R_N_S_01","P","PR","D","D:PR:R","S","1",0.84,0.47,2.32,227,92,0.579752539286199,1.08496250072116,1.31334453191506,2.09360081499835,6.73644148346109,1.24632326780227,"t0",-0.0757207139381184,-0.327902142064283,0.3654879848909,2.35602585719312,1.96378782734556,0.320893878694309,0.0354147280358736,-0.236757340498394,0.095630703008305,0.118378670249197
