Plot Title: 10998654,,,,,
#,"Date Time, GMT+05:00","Temp, øF (LGR S/N: 10998654, SEN S/N: 10998654)","Intensity, lum/ftý (LGR S/N: 10998654, SEN S/N: 10998654)",Coupler Detached (LGR S/N: 10998654),End Of File (LGR S/N: 10998654)
226,02/02/2017 22:14,83.221,0,,
227,02/02/2017 23:14,83.221,0,,
228,02/03/2017 00:14,83.043,0,,
229,02/03/2017 01:14,83.043,0,,
230,02/03/2017 02:14,82.686,0,,
231,02/03/2017 03:14,83.043,0,,
232,02/03/2017 04:14,82.864,0,,
233,02/03/2017 05:14,83.043,0,,
234,02/03/2017 06:14,83.043,0,,
235,02/03/2017 07:14,82.864,60,,
236,02/03/2017 08:14,82.864,192,,
237,02/03/2017 09:14,82.864,384,,
238,02/03/2017 10:14,83.043,480,,
239,02/03/2017 11:14,82.864,496,,
240,02/03/2017 12:14,83.043,576,,
241,02/03/2017 13:14,82.864,480,,
242,02/03/2017 14:14,83.043,304,,
243,02/03/2017 15:14,83.043,200,,
244,02/03/2017 16:14,83.579,144,,
245,02/03/2017 17:14,83.221,67,,
246,02/03/2017 18:14,83.043,6,,
247,02/03/2017 19:14,82.864,0,,
248,02/03/2017 20:14,82.864,0,,
249,02/03/2017 21:14,82.686,0,,
250,02/03/2017 22:14,82.686,0,,
251,02/03/2017 23:14,82.508,0,,
252,02/04/2017 00:14,82.33,0,,
253,02/04/2017 01:14,82.33,0,,
254,02/04/2017 02:14,82.33,0,,
255,02/04/2017 03:14,82.152,0,,
256,02/04/2017 04:14,81.797,0,,
257,02/04/2017 05:14,81.975,0,,
258,02/04/2017 06:14,81.797,0,,
259,02/04/2017 07:14,82.152,43,,
260,02/04/2017 08:14,81.975,128,,
261,02/04/2017 09:14,81.975,224,,
262,02/04/2017 10:14,82.152,304,,
263,02/04/2017 11:14,82.152,304,,
264,02/04/2017 12:14,82.33,336,,
265,02/04/2017 13:14,82.152,320,,
266,02/04/2017 14:14,82.152,176,,
267,02/04/2017 15:14,82.152,168,,
268,02/04/2017 16:14,82.152,101,,
269,02/04/2017 17:14,83.043,73,,
270,02/04/2017 18:14,83.043,4,,
271,02/04/2017 19:14,82.686,0,,
272,02/04/2017 20:14,82.686,0,,
273,02/04/2017 21:14,82.508,0,,
274,02/04/2017 22:14,82.508,0,,
275,02/04/2017 23:14,82.508,0,,
276,02/05/2017 00:14,82.33,0,,
277,02/05/2017 01:14,81.975,0,,
278,02/05/2017 02:14,82.152,0,,
279,02/05/2017 03:14,81.975,0,,
280,02/05/2017 04:14,81.975,0,,
281,02/05/2017 05:14,81.975,0,,
282,02/05/2017 06:14,81.975,0,,
283,02/05/2017 07:14,82.152,33,,
284,02/05/2017 08:14,82.152,117,,
285,02/05/2017 09:14,82.152,176,,
286,02/05/2017 10:14,82.152,256,,
287,02/05/2017 11:14,82.152,288,,
288,02/05/2017 12:14,82.33,336,,
289,02/05/2017 13:14,82.33,256,,
290,02/05/2017 14:14,82.33,184,,
291,02/05/2017 15:14,82.152,192,,
292,02/05/2017 16:14,82.152,118,,
293,02/05/2017 17:14,82.686,56,,
294,02/05/2017 18:14,82.33,4,,
295,02/05/2017 19:14,82.508,0,,
296,02/05/2017 20:14,82.508,0,,
297,02/05/2017 21:14,82.508,0,,
298,02/05/2017 22:14,82.508,0,,
299,02/05/2017 23:14,82.33,0,,
300,02/06/2017 00:14,82.152,0,,
301,02/06/2017 01:14,81.975,0,,
302,02/06/2017 02:14,81.975,0,,
303,02/06/2017 03:14,81.975,0,,
304,02/06/2017 04:14,81.975,0,,
305,02/06/2017 05:14,81.975,0,,
306,02/06/2017 06:14,81.975,0,,
307,02/06/2017 07:14,81.797,23,,
308,02/06/2017 08:14,82.152,42,,
309,02/06/2017 09:14,81.975,110,,
310,02/06/2017 10:14,82.152,168,,
311,02/06/2017 11:14,82.33,200,,
312,02/06/2017 12:14,82.152,232,,
313,02/06/2017 13:14,82.152,200,,
314,02/06/2017 14:14,82.152,152,,
315,02/06/2017 15:14,82.152,128,,
316,02/06/2017 16:14,82.152,69,,
317,02/06/2017 17:14,82.152,31,,
318,02/06/2017 18:14,81.975,3,,
319,02/06/2017 19:14,81.975,0,,
320,02/06/2017 20:14,81.975,0,,
321,02/06/2017 21:14,81.975,0,,
322,02/06/2017 22:14,82.33,0,,
323,02/06/2017 23:14,81.975,0,,
324,02/07/2017 00:14,82.152,0,,
325,02/07/2017 01:14,82.152,0,,
326,02/07/2017 02:14,82.152,0,,
327,02/07/2017 03:14,82.152,0,,
328,02/07/2017 04:14,82.152,0,,
329,02/07/2017 05:14,82.152,0,,
330,02/07/2017 06:14,82.33,0,,
331,02/07/2017 07:14,82.33,29,,
332,02/07/2017 08:14,82.33,89,,
333,02/07/2017 09:14,82.33,184,,
334,02/07/2017 10:14,82.508,304,,
335,02/07/2017 11:14,82.508,184,,
336,02/07/2017 12:14,82.508,464,,
337,02/07/2017 13:14,82.686,336,,
338,02/07/2017 14:14,82.686,304,,
339,02/07/2017 15:14,82.508,168,,
340,02/07/2017 16:14,82.508,98,,
341,02/07/2017 17:14,82.508,38,,
