CoralID,ColonyCollection,DeploymentDate,Species,Origin,Genotype,Stained,Destination,Rack,D_i,d_i,L_i,Weight_i,mlVol_i,CollectionDate,D_f,d_f,L_f,Weight_f,mlVol_f
AM_S_G_N_S_02,20/01/2017,21/01/2017,AM,S,G,N,S,2,0.83,0.81,6.86,260,118,,,,,,
AM_S_Y_S_S_02,20/01/2017,21/01/2017,AM,S,Y,S,S,2,0.76,0.75,5.53,219,94,,1.31,1.24,7.44,258,119
PC_D_B_N_S_02,19/01/2017,20/01/2017,PC,D,B,N,S,2,1.34,1.26,4.39,224,95,,2.43,2.32,5.73,283,132
PC_D_G_S_S_02,21/01/2017,22/01/2017,PC,D,G,S,S,2,1.19,1.09,5.96,248,101,,3.69,2.67,7.28,310,140
PC_D_R_N_S_02,23/01/2017,24/01/2017,PC,D,R,N,S,2,1.78,1.73,5.38,253,115,,3.83,3.41,5.86,310,141
PC_D_Y_S_S_02,19/01/2017,20/01/2017,PC,D,Y,S,S,2,1.4,1.26,4.06,228,99.5,,1.52,1.32,4.76,261,118
PC_S_B_S_S_02,22/01/2017,23/01/2017,PC,S,B,S,S,2,1.28,1.14,5.02,256,105,,5.16,3.63,6,300,134
PC_S_G_N_S_02,18/01/2017,19/01/2017,PC,S,G,N,S,2,1.32,1.05,2.07,223,97,,,,,,
PC_S_N_N_S_02,22/01/2017,23/01/2017,PC,S,N,N,S,2,1.37,1.14,6.31,268,116.5,,6.22,5.43,6.51,356,173
PC_S_R_N_S_02,20/01/2017,21/01/2017,PC,S,R,N,S,2,1.66,1.16,7.8,258,115,,4.5,3.54,6.78,320,154
PC_S_Y_N_S_02,22/01/2017,23/01/2017,PC,S,Y,N,S,2,1.01,0.85,4.66,248,115,,,,,,
PR_D_B_N_S_02,19/01/2017,20/01/2017,PR,D,B,N,S,2,1.47,1.3,4.35,235,102,,5.83,5.85,4.83,299,136
PR_D_G_N_S_02,21/01/2017,22/01/2017,PR,D,G,N,S,2,1.07,0.91,4.1,224,101,,,,,,
PR_D_R_S_S_02,21/01/2017,22/01/2017,PR,D,R,S,S,2,0.55,0.41,2.76,228,98,,6.04,5.07,5.08,306,143
PR_D_Y_S_S_02,23/01/2017,24/01/2017,PR,D,Y,S,S,2,1.84,1.48,3.74,252,110,,6.12,5.42,5.88,336,154
PR_S_B_N_S_02,20/01/2017,21/01/2017,PR,S,B,N,S,2,0.66,0.54,2.94,236,96,,4.61,3.89,5.29,289,128
PR_S_G_S_S_02,18/01/2017,19/01/2017,PR,S,G,S,S,2,2.05,1.86,2.02,217,92,,4.25,3.26,4.47,280,132
PR_S_N_N_S_02,22/01/2017,23/01/2017,PR,S,N,N,S,2,1.71,1.41,3.14,247,110,,3.96,2.59,4.59,295,138
PR_S_R_N_S_02,20/01/2017,21/01/2017,PR,S,R,N,S,2,1.58,1.13,4.41,273,113,,2.23,2.21,3.7,309,137
PR_S_Y_N_S_02,18/01/2017,19/01/2017,PR,S,Y,N,S,2,1.6,0.95,4.07,280,102,,,,,,
AD_D_B_N_D_03,19/01/2017,20/01/2017,AD,D,B,N,D,3,0.97,0.88,3.75,231,98,08/05/2018,1.81,1.46,5.87,292,130
AD_D_G_S_D_03,21/01/2017,22/01/2017,AD,D,G,S,D,3,0.77,0.62,4.87,242,104,08/05/2018,1.76,1.63,7.85,296,126
AD_D_R_S_D_03,21/01/2017,22/01/2017,AD,D,R,S,D,3,0.82,0.77,6.42,253,106,08/05/2018,2.91,2.9,7.11,320,151
AD_D_Y_N_D_03,19/01/2017,20/01/2017,AD,D,Y,N,D,3,1,0.76,3.42,221,87,08/05/2018,4.98,4.34,4.45,263,120
AD_S_B_S_D_03,18/01/2017,19/01/2017,AD,S,B,S,D,3,0.71,0.55,4.18,222,94,08/05/2018,1.15,1.05,5.38,252,108
AD_S_G_N_D_03,20/01/2017,21/01/2017,AD,S,G,N,D,3,0.81,0.77,4.02,222,95,08/05/2018,,,,,
AD_S_N_S_D_03,22/01/2017,23/01/2017,AD,S,N,S,D,3,0.92,0.61,6.95,260,107.5,08/05/2018,4.9,4.35,11.09,406,175
AD_S_R_S_D_03,18/01/2017,19/01/2017,AD,S,R,S,D,3,0.87,0.64,4.49,224,94,08/05/2018,,,,,
AD_S_Y_N_D_03,20/01/2017,21/01/2017,AD,S,Y,N,D,3,0.65,0.6,6.08,255,106,08/05/2018,1.04,0.97,5.55,321,135
AM_D_B_N_D_03,19/01/2017,20/01/2017,AM,D,B,N,D,3,0.68,0.66,6.93,220,109,08/05/2018,1.06,0.95,18.8,354,156
AM_D_G_S_D_03,21/01/2017,22/01/2017,AM,D,G,S,D,3,0.76,0.72,7.51,244,99.5,08/05/2018,3.59,3.17,20.08,369,171
AM_D_N_N_D_03,23/01/2017,24/01/2017,AM,D,N,N,D,3,1,0.82,4.71,248,1111.5,08/05/2018,1.49,1.31,12.84,312,141
AM_D_R_N_D_03,21/01/2017,22/01/2017,AM,D,R,N,D,3,0.67,0.6,5.56,243,99,08/05/2018,1.42,1.06,15.09,339,150
AM_D_Y_S_D_03,19/01/2017,20/01/2017,AM,D,Y,S,D,3,0.9,0.77,4.57,212,95,08/05/2018,1.04,1.02,12.07,319,120
AM_S_B_N_D_03,18/01/2017,19/01/2017,AM,S,B,N,D,3,0.6,0.58,3.7,271,98,08/05/2018,1.04,0.8,7.2,244,107
AM_S_G_S_D_03,20/01/2017,21/01/2017,AM,S,G,S,D,3,0.91,0.83,6.29,240,97,08/05/2018,,,,,
AM_S_N_S_D_03,22/01/2017,23/01/2017,AM,S,N,S,D,3,0.76,0.73,5.39,241,96.5,08/05/2018,1.28,1.26,5.3,268,113
AM_S_R_N_D_03,18/01/2017,19/01/2017,AM,S,R,N,D,3,0.73,0.69,5.12,279,100,08/05/2018,,,,,
AM_S_Y_S_D_03,20/01/2017,21/01/2017,AM,S,Y,S,D,3,0.85,0.79,4.91,236,97,08/05/2018,1.21,1.14,12.7,306,141
PC_D_B_S_D_03,19/01/2017,20/01/2017,PC,D,B,S,D,3,1.17,1.01,4.5,222,98.5,08/05/2018,,,,,
PC_D_G_S_D_03,21/01/2017,22/01/2017,PC,D,G,S,D,3,1.18,1.13,3.69,258,102.5,08/05/2018,6.67,5.13,6.13,298,135
PC_D_R_N_D_03,23/01/2017,24/01/2017,PC,D,R,N,D,3,1.4,1.32,5.38,237,98,08/05/2018,4.33,3.48,7.17,279,138
PC_D_Y_N_D_03,19/01/2017,20/01/2017,PC,D,Y,N,D,3,1.25,1.2,4.64,241,103,08/05/2018,,,,,
PC_S_B_S_D_03,22/01/2017,23/01/2017,PC,S,B,S,D,3,1.49,1.35,8.03,264,116,08/05/2018,4.06,3.14,3.99,291,160
PC_S_G_N_D_03,18/01/2017,19/01/2017,PC,S,G,N,D,3,1.76,1.21,2.09,203,87,08/05/2018,,,,,
PC_S_N_N_D_03,22/01/2017,23/01/2017,PC,S,N,N,D,3,1.12,1.01,5.94,255,112,08/05/2018,6.4,4.08,6.28,293,134
PC_S_R_S_D_03,20/01/2017,21/01/2017,PC,S,R,S,D,3,1.52,1.48,7.17,250,106,08/05/2018,1.99,1.54,9.49,280,133
PC_S_Y_S_D_03,22/01/2017,23/01/2017,PC,S,Y,S,D,3,1.81,1.7,6.83,270,113.5,08/05/2018,2.5,2.18,7.36,313,146
PR_D_B_N_D_03,19/01/2017,20/01/2017,PR,D,B,N,D,3,1.4,0.88,3.83,222,91,08/05/2018,10,9.2,4.45,279,123
PR_D_G_N_D_03,21/01/2017,22/01/2017,PR,D,G,N,D,3,0.92,0.68,1.87,224,95,08/05/2018,,,,,
